,rf_betti_der_prediction_3,xgbt_betti_der_prediction_3,gp_betti_der_prediction_3,enet_betti_der_prediction_3,infor_betti_der_prediction_3,rf_betti_der_prediction_5,xgbt_betti_der_prediction_5,gp_betti_der_prediction_5,enet_betti_der_prediction_5,infor_betti_der_prediction_5,rf_betti_der_prediction_7,xgbt_betti_der_prediction_7,gp_betti_der_prediction_7,enet_betti_der_prediction_7,infor_betti_der_prediction_7
1,160.88235242993775,148.55005890271468,520.366860195326,131.42831940371008,5.02426290512085,157.5269997079118,141.1315432495514,503.243599908565,137.68851535787027,5.324680805206299,156.83756751811126,145.80150890851576,473.3470131148153,150.38637829138955,5.138852119445801
2,190.09852136718084,165.46106792838006,533.9348386808408,172.5944224095309,5.577207565307617,182.70842927169545,162.2393525011734,510.5166846135209,182.51399359684916,5.604857921600342,178.33030651478626,168.39300015143147,482.48115643787554,195.6531629648403,5.781675338745117
5,218.386082943,212.97164130465825,561.4252767751749,266.6570368478469,5.209333419799805,208.0893652759528,203.03446136062718,537.0589851130875,262.4244961834299,5.356766700744629,197.6101511280409,184.79358078677953,506.85603336629197,275.7141472223217,5.055835247039795
7,214.31217429364293,201.6698725640496,583.2969724996816,294.0315049764756,5.277477264404297,196.88410588498368,170.42108144240842,554.9638658333823,299.6448696059045,5.372277736663818,201.0760659814987,203.11136723482517,523.4995505838708,313.51017124438016,5.3384199142456055
10,203.21077712565918,207.90753954582792,594.1590753839464,314.3224940698321,5.290130138397217,207.1390352091933,179.7294772707026,559.2803929754616,337.0479238206586,5.605279922485352,210.7511547587674,181.74403016330413,537.0871683464438,333.39633835159674,5.470671653747559
15,255.08875967241198,279.17557199726485,629.3931309130578,361.463683347177,5.465766429901123,255.08792965286045,272.6950127890131,617.3050001022531,399.9211835985048,5.860182285308838,265.0658051534598,277.65118404213587,610.8781150925042,398.0639905518445,5.8014678955078125
20,318.19824443008116,320.0651964834665,707.6476051109422,469.3871580315692,5.554042816162109,349.66358052506746,352.47777234883904,700.5973541193666,541.5811384637467,5.509690284729004,364.59761331883516,376.9744553679997,707.9417860903437,560.2439169260467,5.6650471687316895
25,394.02485921674884,383.5340793202086,763.0396773643477,600.189969223481,6.032926559448242,438.7471600302456,432.59227917289513,768.2948692024378,704.6284393411203,6.097387790679932,446.5053096855578,440.9528319446424,760.2547130193649,673.6651684280083,6.3904852867126465
30,500.6772407334967,459.03675234124773,829.2632712628133,671.5258699602159,5.871808052062988,473.4407832525756,449.2804246792865,806.841011536564,741.0795828101235,6.023233413696289,460.33298702869035,410.8508975285317,801.2025495525497,710.1995954709877,6.1966328620910645
