,rf_fl_prediction_3,xgbt_fl_prediction_3,gp_fl_prediction_3,enet_fl_prediction_3,infor_fl_prediction_3,rf_fl_prediction_5,xgbt_fl_prediction_5,gp_fl_prediction_5,enet_fl_prediction_5,infor_fl_prediction_5,rf_fl_prediction_7,xgbt_fl_prediction_7,gp_fl_prediction_7,enet_fl_prediction_7,infor_fl_prediction_7
1,161.63572094665233,140.84530964856444,756.0152502084334,135.91698923366368,6.599913597106934,156.1588058755523,146.04672197622241,757.0650045867399,134.51092658587262,6.7094550132751465,159.5774254979264,141.0505583115501,751.5185605365535,143.95155676232503,6.116545677185059
2,183.25239758226869,159.87886820965426,759.7662533255552,176.99648940483294,6.517122268676758,179.4760897646701,156.8725995832287,758.9442021210092,171.28945142101048,6.3713274002075195,179.7517557306663,161.14429868909417,754.8558592405182,188.54813562181624,6.602471351623535
5,201.40200713020508,207.1948117111044,768.7499745105505,225.01536042319069,6.145981788635254,195.32331542173443,194.61614783979255,767.9631616938311,244.50265527111526,6.1008076667785645,194.4603825977574,193.2198165302928,759.3258276787724,280.74964430772417,6.2459564208984375
7,220.45191093835862,211.45675680857303,774.7966139308056,246.7231444025584,6.37947940826416,196.53046946447452,189.5614148501746,772.7430562003154,268.5780170039091,6.151710033416748,183.3590503202389,175.9822008045132,757.6416883888005,285.119190428077,6.567667007446289
10,203.57148555350227,203.24718940246132,772.1441255606827,245.03803182583198,6.551682949066162,196.96255721112357,184.47884025004058,765.2094932284089,252.71006731450524,6.306962013244629,194.09194984825808,160.88824537547794,754.5030000507066,258.84333777390066,6.25238561630249
15,227.0288978273786,224.58694307550476,779.1263818692462,265.2358989541607,6.355809211730957,220.48229835950642,208.08022491337329,783.7780555590194,288.86229494997013,6.370338439941406,242.03763915186667,236.3687585109335,786.5476516611966,312.6672840504432,6.087035655975342
20,278.63527632418453,276.70308093694945,825.2072870667319,364.49478217990037,5.946357250213623,266.6686867208259,265.3235948799126,832.7993495263788,447.2570611200821,6.05999231338501,305.19271273466967,305.2421333957683,840.5946352588942,500.7925291540183,6.0347700119018555
25,322.31767339340837,296.03413654509507,851.1958409912187,427.3843221010431,6.358561992645264,312.66274664164143,332.3533059862652,863.5611907696988,511.122045505688,6.391323566436768,344.6804477090081,319.80212632188665,857.7509545761957,574.4167680163893,6.521795749664307
30,362.30127457185915,371.733264586316,898.2677242066725,458.2937732782175,6.357036590576172,308.9672454070568,295.345712682612,880.5877817471699,557.6530704432381,6.2356181144714355,372.25005440402947,314.57809841118944,866.4594160215697,629.303884578704,5.979323387145996
